ID,target
test_id_0,14.908741
test_id_1,35.60361
test_id_2,24.58466
test_id_3,13.048778
test_id_4,25.833878
test_id_5,16.16576
test_id_6,15.157849
test_id_7,26.61848
test_id_8,19.504406
test_id_9,27.352095
test_id_10,55.964844
test_id_11,30.95837
test_id_12,40.256023
test_id_13,14.022661
test_id_14,16.383842
test_id_15,48.20079
test_id_16,32.672558
test_id_17,91.37348
test_id_18,14.187301
test_id_19,26.748154
test_id_20,28.686207
test_id_21,17.705914
test_id_22,12.136698
test_id_23,16.488943
test_id_24,15.891912
test_id_25,31.0448
test_id_26,42.034863
test_id_27,18.732899
test_id_28,18.189247
test_id_29,21.604033
test_id_30,12.825301
test_id_31,17.518703
test_id_32,13.545443
test_id_33,13.841849
test_id_34,14.160231
test_id_35,16.770184
test_id_36,13.042057
test_id_37,13.901694
test_id_38,33.71538
test_id_39,41.46283
test_id_40,18.793346
test_id_41,19.856009
test_id_42,19.064358
test_id_43,72.21268
test_id_44,75.012566
test_id_45,14.022047
test_id_46,19.023499
test_id_47,15.942247
test_id_48,15.364387
test_id_49,44.915344
test_id_50,16.06523
test_id_51,38.91549
test_id_52,17.5629
test_id_53,11.107714
test_id_54,12.862942
test_id_55,15.066141
test_id_56,32.238377
test_id_57,64.13008
test_id_58,17.676586
test_id_59,18.541477
test_id_60,68.19914
test_id_61,17.824944
test_id_62,19.19477
test_id_63,46.204926
test_id_64,15.339851
test_id_65,15.7786
test_id_66,15.6219425
test_id_67,61.23204
test_id_68,15.498484
test_id_69,15.821661
test_id_70,18.567698
test_id_71,13.537948
test_id_72,19.139244
test_id_73,17.77602
test_id_74,15.972504
test_id_75,25.153357
test_id_76,17.396904
test_id_77,24.983639
test_id_78,15.650089
test_id_79,12.584925
test_id_80,11.861031
test_id_81,37.115837
test_id_82,14.712624
test_id_83,22.122496
test_id_84,24.94608
test_id_85,29.327951
test_id_86,89.881836
test_id_87,75.90172
test_id_88,17.21265
test_id_89,19.68243
test_id_90,36.4079
test_id_91,23.902454
test_id_92,34.38439
test_id_93,20.436293
test_id_94,24.40474
test_id_95,58.84899
test_id_96,17.625069
test_id_97,16.81477
test_id_98,18.380396
test_id_99,34.075745
test_id_100,18.095839
test_id_101,35.310806
test_id_102,24.577036
test_id_103,23.845993
test_id_104,16.898745
test_id_105,21.653563
test_id_106,20.129776
test_id_107,25.782957
test_id_108,31.777071
test_id_109,20.676908
test_id_110,12.6697445
test_id_111,21.80493
test_id_112,27.004375
test_id_113,28.49917
test_id_114,39.495018
test_id_115,17.199978
test_id_116,32.697376
test_id_117,27.097952
test_id_118,52.721123
test_id_119,14.870166
test_id_120,33.77705
test_id_121,32.711163
test_id_122,21.775145
test_id_123,19.98441
test_id_124,25.164722
test_id_125,11.457566
test_id_126,16.845219
test_id_127,13.830839
test_id_128,16.64598
test_id_129,35.225914
test_id_130,19.771542
test_id_131,37.52534
test_id_132,17.205275
test_id_133,21.225878
test_id_134,15.005584
test_id_135,20.61288
test_id_136,46.319157
test_id_137,21.54914
test_id_138,16.77615
test_id_139,18.794216
test_id_140,43.891563
test_id_141,21.603827
test_id_142,20.03231
test_id_143,15.290696
test_id_144,38.51126
test_id_145,53.31421
test_id_146,25.731314
test_id_147,61.105457
test_id_148,23.830479
test_id_149,27.631966
test_id_150,31.52206
test_id_151,20.27629
test_id_152,9.135136
test_id_153,24.069414
test_id_154,23.120232
test_id_155,71.22092
test_id_156,26.408499
test_id_157,11.247827
test_id_158,12.463916
test_id_159,13.337764
test_id_160,25.384155
test_id_161,14.1763935
test_id_162,15.221305
test_id_163,14.697681
test_id_164,28.158829
test_id_165,28.220238
test_id_166,20.2836
test_id_167,29.999256
test_id_168,64.20643
test_id_169,39.441208
test_id_170,78.34096
test_id_171,38.090504
test_id_172,68.22358
test_id_173,52.55952
test_id_174,57.95797
test_id_175,32.303585
test_id_176,13.44207
test_id_177,13.123724
test_id_178,16.988731
test_id_179,16.095171
test_id_180,15.40271
test_id_181,19.4597
test_id_182,15.11759
test_id_183,26.60999
test_id_184,26.224243
test_id_185,28.30913
test_id_186,12.222641
test_id_187,13.469187
test_id_188,14.94899
test_id_189,20.077957
test_id_190,22.854046
test_id_191,13.821234
test_id_192,14.633424
test_id_193,14.04416
test_id_194,15.684809
test_id_195,13.527535
test_id_196,14.255396
test_id_197,13.524757
test_id_198,12.426843
test_id_199,22.582813
test_id_200,20.486902
test_id_201,15.333133
test_id_202,19.1448
test_id_203,15.264284
test_id_204,29.85091
test_id_205,18.001389
test_id_206,16.338125
test_id_207,16.890253
test_id_208,15.191778
test_id_209,17.0305
test_id_210,15.103854
test_id_211,22.548603
test_id_212,16.372734
test_id_213,21.152231
test_id_214,14.749396
test_id_215,16.542685
test_id_216,14.452047
test_id_217,18.968876
test_id_218,19.671759
test_id_219,17.672976
test_id_220,20.700445
test_id_221,65.49748
test_id_222,12.993874
test_id_223,13.770542
test_id_224,40.12227
test_id_225,41.200035
test_id_226,15.85833
test_id_227,28.347378
test_id_228,28.318487
test_id_229,16.791683
test_id_230,36.32209
test_id_231,53.57336
test_id_232,76.21685
test_id_233,40.36839
test_id_234,40.04068
test_id_235,13.878995
test_id_236,14.017803
test_id_237,15.354347
test_id_238,44.19427
test_id_239,42.749374
test_id_240,14.687984
test_id_241,13.858429
test_id_242,28.854134
test_id_243,25.327312
test_id_244,28.244308
test_id_245,18.275663
test_id_246,19.027874
test_id_247,17.592289
test_id_248,14.543574
test_id_249,12.335508
test_id_250,16.70247
test_id_251,21.257887
test_id_252,31.829529
test_id_253,13.77077
test_id_254,15.998146
test_id_255,14.555315
test_id_256,19.003742
test_id_257,21.119913
test_id_258,32.139206
test_id_259,37.36625
test_id_260,20.389824
test_id_261,17.019838
test_id_262,24.570627
test_id_263,24.064564
test_id_264,16.496628
test_id_265,31.38214
test_id_266,28.265896
test_id_267,13.726995
test_id_268,17.620638
test_id_269,22.038698
test_id_270,36.377754
test_id_271,15.388309
test_id_272,17.531559
test_id_273,16.445198
test_id_274,34.57154
test_id_275,15.448565
test_id_276,17.438581
test_id_277,35.027657
test_id_278,22.75922
test_id_279,30.936127
test_id_280,30.397343
test_id_281,22.984201
test_id_282,11.4127
test_id_283,15.571792
test_id_284,20.280272
test_id_285,11.804634
test_id_286,18.076591
test_id_287,13.885641
test_id_288,15.277571
test_id_289,16.570961
test_id_290,13.2862425
test_id_291,20.464718
test_id_292,15.483963
test_id_293,14.355496
test_id_294,39.68467
test_id_295,13.27918
test_id_296,22.592375
test_id_297,38.58299
test_id_298,8.670117
test_id_299,23.546967
test_id_300,27.497074
test_id_301,25.25228
test_id_302,37.794914
test_id_303,21.849571
test_id_304,16.13421
test_id_305,16.807882
test_id_306,15.936024
test_id_307,17.43532
test_id_308,17.513714
test_id_309,29.355145
test_id_310,35.108368
test_id_311,18.193378
test_id_312,13.859314
test_id_313,44.79798
test_id_314,29.381474
test_id_315,38.568058
test_id_316,24.185785
test_id_317,17.495302
test_id_318,20.135965
test_id_319,19.728395
test_id_320,27.556623
test_id_321,33.216125
test_id_322,16.81887
test_id_323,19.976799
test_id_324,16.400024
test_id_325,29.232548
test_id_326,19.940624
test_id_327,23.594261
test_id_328,24.859116
test_id_329,34.162815
test_id_330,42.389412
test_id_331,24.444157
test_id_332,18.48278
test_id_333,28.2907
test_id_334,39.00284
test_id_335,33.782738
test_id_336,24.833096
test_id_337,59.398945
test_id_338,16.324038
test_id_339,22.211845
test_id_340,34.404587
test_id_341,13.052057
test_id_342,63.80286
test_id_343,19.481838
test_id_344,24.257767
test_id_345,19.224909
test_id_346,19.017504
test_id_347,22.298027
test_id_348,23.10693
test_id_349,25.336569
test_id_350,24.1636
test_id_351,29.744131
test_id_352,14.355199
test_id_353,19.968086
test_id_354,15.8319645
test_id_355,15.192969
test_id_356,17.462763
test_id_357,23.863804
test_id_358,32.161995
test_id_359,106.73147
test_id_360,17.731035
test_id_361,45.56093
test_id_362,54.748592
test_id_363,53.582977
test_id_364,56.75666
test_id_365,28.416119
test_id_366,35.816288
test_id_367,35.42406
test_id_368,45.985348
test_id_369,32.965538
test_id_370,20.955643
test_id_371,20.076805
test_id_372,29.392845
test_id_373,25.118988
test_id_374,25.730656
test_id_375,27.58543
test_id_376,57.15526
test_id_377,17.784836
test_id_378,27.737976
test_id_379,16.397245
test_id_380,37.13851
test_id_381,35.10811
test_id_382,30.205788
test_id_383,45.406685
test_id_384,55.752853
test_id_385,31.166317
test_id_386,40.815834
test_id_387,33.33248
test_id_388,33.32485
test_id_389,50.43507
test_id_390,45.01058
test_id_391,21.303936
test_id_392,30.577312
test_id_393,16.668333
test_id_394,23.063267
test_id_395,38.415615
test_id_396,31.015488
test_id_397,18.630981
test_id_398,24.257141
test_id_399,16.88603
test_id_400,20.487339
test_id_401,37.485443
test_id_402,27.689953
test_id_403,79.20942
test_id_404,18.32281
test_id_405,20.557882
test_id_406,17.200588
test_id_407,35.960655
test_id_408,20.024973
test_id_409,27.409716
test_id_410,22.854805
test_id_411,18.341494
test_id_412,43.570656
test_id_413,22.307306
test_id_414,16.55053
test_id_415,30.23719
test_id_416,19.857391
test_id_417,29.308712
