Class Index,Title,Description
4,China #39;s Consumer Electronics Market Grows,"China #39;s consumer electronics market will grow by almost 90 percent to \$94 billion by 2007 as manufacturers shift to high-end digital products and away from more basic items like toys and watches, an industry publication forecasts."
1,Peru Says No Attack Planned; 4 Police Dead," LIMA, Peru (Reuters) - The Peruvian government on Sunday  denied planning an imminent offensive after urging residents  living near a captured police station in the southern Andes to  leave their homes."
2,"Colts 49, Texans 14",The Houston Texans made mistake after mistake Sunday and Manning converted them into touchdown after touchdown. Manning completed 18 of 27 passes for 320 yards and threw five touchdowns for the third time 
1,Mixed media: Fingers pointed at Putin,RUSSIAN ON-LINE NEWSPAPER - Questions are mounting about whether Putin #39;s policies - not only in Chechnya but also the power consolidation drive to stamp out opposition and public debate - are exacerbating the terrorist threat.
1,Abducted Aid Worker in Iraq Begs for Life (AP),"AP - Trembling, haggard and weeping into a tissue, Margaret Hassan, the kidnapped British aid worker who has spent nearly half her life delivering food and medicine in Iraq, begged Britain on Friday to help save her by withdrawing its troops, saying these ""might be my last hours."""
2,NHL players stick together despite reality,It was comforting to see Bob Goodenow hasn #39;t changed much in the seven weeks since the National Hockey League began locking out its players.
3,Markets question when Fed will pause on rate hikes,"WASHINGTON : With little doubt about the Federal Reserve #39;s plans for a quarter-point rate hike, financial markets were focusing on another question: When will the Fed stop?"
2,US skier Kildow wins downhill event,"Lindsey Kildow of Vail, Colo., won her first World Cup skiing event yesterday, taking the season #39;s first downhill in 1 minute, 23.44 seconds."
3,Chinese firm in talks for Noranda,"Government-controlled minmetals. Exclusive talks to buy Canadian mining giant that has a market value of \$6.7 billion. Noranda CEO Derek Pannell said he is encouraged by discussions with Minmetals, although "
1,"Nearly a Month Later, Ohio Fight Goes On (AP)","AP - Nearly a month after John Kerry conceded Ohio to President Bush, complaints and challenges about the balloting are mounting as activists including the Rev. Jesse Jackson demand closer scrutiny to ensure the votes are being counted on the up-and-up."
2,China rallies to v-ball win,Ping Zhang had 25 points yesterday as China came from two sets down to beat Russia for the gold medal in Olympic women #39;s volleyball.
4,Google Groups get going,"Google has unveiled the second version of Google Groups, which is designed to make it easier to follow online chat groups. Enhanced tools allow fast searches of the company #39;s Usenet database of online forums, which it bought in 2001."
1,Justice Thomas Hopes for Smooth Election (AP),"AP - U.S. Supreme Court Justice Clarence Thomas said Thursday he would prefer not to face another election-related lawsuit, but defended the high court's decision to get involved in the contentious dispute over the 2000 presidential vote in Florida."
4,Paleontologists Put Ancient Long-Necked Monster in Its Place,"iraffes evolved long necks to browse in trees high above the competition. That is as plain as the explanation the wolf in granny clothing gave Little Red Riding Hood for his big teeth:  quot;The better to eat you with, my dear."
3,Ford Recalls Econoline Vans to Fix Brakes,"&lt;p&gt;\&lt;/p&gt;&lt;p&gt; DETROIT (Reuters) - Ford Motor Co. &lt;F.N&gt; said on Thursday\it is recalling 234,208 Econoline vans in North America to fix\a defect in the anti-lock brake unit that can spark fires even\when the vehicles are parked.&lt;/p&gt;"
1,"American, Nepali, 2 Arabs Kidnapped in Baghdad","Gunmen kidnapped an American, a Nepali and two Arab men from their Baghdad office on Monday, police said.  quot;They stormed the villa with automatic rifles and rocket- propelled grenades."
3,"FAA Must Improve Oversight of Hazardous Materials, Report Says","The Federal Aviation Administration needs to improve its oversight of air carriers and passengers who bring hazardous materials onto airplanes, according to a report released yesterday "
3,"Australia #39;s S amp;P/ASX 200 Falls; Origin Declines, Woodside Climbs",Australia #39;s S amp;P/ASX 200 Index fell for a third day. Origin Energy Ltd. declined after New Zealand #39;s Contact Energy Ltd.
3,Europe awaits US poll verdict,"European shares edged higher Tuesday, with easing oil prices underpinning market sentiment, but investors were cautious ahead of a neck-and-neck race in the US presidential elections."
4,LCD Prices Fell More Than Expected in August,"Large-sized LCD panel pricing fell faster than expected last month, due to disappointing demand, rising supply and swelling inventories that created a near-term headache for suppliers, but also paved the way for stronger sales during Q4, according to "
4,EDS settles contract dispute with U.K.'s NHS,The U.K. National Health Service and Electronic Data Systems reached a settlement after the NHS terminated a contract for the company to supply a secure e-mail and directory system.
3,"United, pilots tentatively agree on additional cuts","United Airlines, seeking cost cuts to help it get out of bankruptcy, has reached a tentative agreement with its pilots union, the first labor accord on additional concessions the carrier proposed last month."
3,Oil steady after failure to hit \$50,Oil prices have steadied after sliding sharply from record highs late last week but the tightening siege on rebels holed up in a shrine in Iraq has heightened uncertainty in the market.
2,"No. 16 Florida 20, Kentucky 3","With Hurricane Jeanne approaching, Florida squeezed in its game against Kentucky and beat the Wildcats 20-3 Saturday behind Ciatrick Fason #39;s career-high 210 yards rushing and two touchdowns."
1,Three Beheaded Bodies Found North of Baghdad," BAIJI, Iraq (Reuters) - The decapitated bodies of three  men, their heads strapped to their backs and the corpses put in  nylon bags, were found dumped by a roadside north of Baghdad  Wednesday, Iraqi police and U.S. officials said."
1,Pro-Democracy Protest in Iran Gains Momentum," TEHRAN (Reuters) - A rare pro-democracy protest in Tehran  gained momentum late on Sunday with hundreds of cars pouring  onto the streets, blaring horns and provoking an appearance  from hardline vigilantes, witnesses said."
4,Co-Founder of Google's Blogger Leaving Company (Reuters),"Reuters - Web search leader Google Inc.\ on Thursday said the head of its Web log service,\Blogger, will leave at the end of the week to pursue other\interests."
1,Iraqis aim to decide new assembly,The national conference on Iraq #39;s future is going into an unscheduled fourth day as delegates hammer out the shape of the first post-war parliament. 
3,"Oil Prices Are at New High, Over \$49"," LONDON (Reuters) - Oil prices raced to fresh highs on  Friday, carrying U.S. crude over \$49 a barrel, driven by  escalating violence in Iraq and unabated fuel demand growth  from China and India."
4,Hollywood Sues Movie Pirates,"Hollywood joined the music industry in its legal campaign against online music piracy, filing hundreds of lawsuits against people suspected of trading illegally copied movies on the Internet. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;"
4,SGI to upgrade high-end Linux servers next week,"Silicon Graphics plans to announce a new Linux computer Nov. 1, a machine that uses Intel's newest Itanium 2."
4,ISA Server 2000 and Proxy Server 2.0 Internet Content Spoofing,"This update resolves a newly-discovered, privately reported vulnerability. The vulnerability is documented in the Vulnerability details section of this bulletin."
2,Wimbledon Champ Sharapova Wins Japan Open (AP),"AP - Wimbledon champion Maria Sharapova overpowered Mashona Washington 6-0, 6-1 on Saturday to win the Japan Open for the second straight year."
2,NFL: JAMAL #39;S HEADING FOR JAIL,but only after the NFL season ends. The Baltimore Ravens star will serve four months in a tough federal jail and two months in a halfway 
2,Positive Identity Emerges for Giants' Offense,"Most of the credit offensively went to Kurt Warner, the man who delivered the ball and created team chemistry by the way he did it."
2,VENUS NARROWLY AVOIDS UPSET,"Venus Williams barely kept alive her hopes of qualifying for next week #39;s WTA Tour Championships. Williams, seeded fifth, survived a third-set tiebreaker to outlast Yuilana Fedak of the Ukraine, 6-4 2-6 7-6 "
1,Italy braced for general strike,Millions of Italian workers are expected to take part in a general strike against \$8bn in government spending cuts.
1,UN soldier injured in clash with Aristide loyalists,A UN peacekeeper and a Haitian policeman were injured Saturday in a clash with loyalists of former Haitian President Jean-Bertrand Aristide in Port-au-Prince.
1,South Korea on alert for North Korean infiltration,South Korea went on high alert over possible infiltration by North Korean agents Tuesday while US Secretary of State Colin Powell met with top officials in Seoul on how to denuclearize the North and redeploy US troops on the 
3,Holiday traveler outlook: no gifts,"MANATEE - Expect airports and roads to be even more crowded than usual this holiday season. That #39;s the word from AAA, which predicted Wednesday that a record number of Americans and Floridians will travel during the Christmas and New Year #39;s holidays."
1,Iran rejects EU nuclear proposal,"TEHRAN: Iran on Sunday described a European proposal aimed at ending a nuclear standoff as unbalanced and rejected its demands that the Islamic republic halt all uranium enrichment activities, a foreign news agency reported."
1,"An angry Galloway wins 150,000 damages from the Telegraph","GEORGE Galloway yesterday scored another major libel victory, winning 150,000 damages over a newspaper #39;s claims that he was in the pay of Saddam Hussein."
1,US tightens net around Fallujah,United States troops have reinforced positions around Fallujah after an overnight air strike and sealed main roads out of the rebel-held city.
1,Ukraine rivals bid to end crisis,Presidential rivals Viktor Yushchenko and Viktor Yanukovych meet in a fresh bid to resolve the poll crisis.
1,Asem forum to promote co-operation between continents,"HANOI: Eight years after its inception, the Asia-Europe Meeting (Asem) is moving towards becoming a strong platform for promoting more tangible co-operation between the two continents."
4,Card fraud shows sharp increase,"Credit and debit card fraud rose by nearly a fifth to 478.8m in the year up to July, an industry body says."
1,Cypriot govt condemns bomb attack on church,The Cypriot government on Friday denounced a bomb attack that rattled the Church of Agios Mamas Friday morning in the town of Morphou in Turkey-controlled northern Cyprus.
2,Radcliffe and Ramaala Win New York City Marathon,Both Paula Radcliffe of Britain and Hendrik Ramaala of South Africa got a bit of redemption after a disappointing Olympics.
3,Microsoft CEO meets Indian prime minister,Microsoft chief Steve Ballmer brought his campaign to retain his company #39;s dominance in the Indian software market to the country #39;s leadership yesterday.
1,First arrest over Jakarta bombing,Indonesian police have made their first arrest in connection with last week #39;s bombing at the Australian embassy in Jakarta. Police chief Da #39;i Bachtiar said a man had been arrested for carrying explosives for 
